title,url,image
Without backup plans  global IT outages will happen again,https://indianexpress.com/article/technology/tech-news-technology/without-backup-plans-global-it-outages-will-happen-again-9466246/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Microsoft says about 8.5 million of its devices affected by CrowdStrike-related outage,https://indianexpress.com/article/technology/tech-news-technology/microsoft-says-about-8-5-million-of-its-devices-affected-by-crowdstrike-related-outage-9466243/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
When tech fails  it is usually with a whimper instead of a bang,https://indianexpress.com/article/technology/tech-news-technology/microsoft-crowdstrike-global-outage-9466229/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
AI models help improve health communication in India:  Google DeepMind’s Milind TambeSubscriber Only,https://indianexpress.com/article/technology/tech-news-technology/multi-armed-bandits-model-key-to-improve-health-communication-google-deepmind-milind-tambe-9465259/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
NASA’s Curiosity Rover finds yellow pure sulfur crystals on Mars,https://indianexpress.com/article/technology/science/nasa-curiosity-rover-mars-finds-yellow-crystals-pure-sulfur-9465112/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
What is CrowdStrike  the company at the heart of the global Microsoft outage?,https://indianexpress.com/article/technology/crowdstrike-outage-what-is-crowdstrike-george-kurtz-microsoft-9465161/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Microsoft is testing a new Windows 11 Start menu design with app grid layout,https://indianexpress.com/article/technology/tech-news-technology/microsoft-testing-new-redesigned-windows-11-start-menu-9465030/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Xiaomi unveils Mix Flip  its first flip phone with Leica Summilux tuned camera,https://indianexpress.com/article/technology/mobile-tabs/xiaomi-unveils-mix-flip-its-first-flip-phone-with-leica-summilux-camera-9464799/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
A dummies guide to the great CrowdStrike outage,https://indianexpress.com/article/technology/crowdstrike-outage-microsoft-azure-airports-services-guide-9464642/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Microsoft IT outage: CEO Satya Nadella says working with CrowdStrike to resolve the issue; 8 key takeaways,https://indianexpress.com/article/technology/microsoft-global-outage-satya-nadella-crowdstrike-key-points-9464267/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
What does Crowdstrike have to do with Microsoft Windows PCs crashing worldwide?,https://indianexpress.com/article/technology/tech-news-technology/windows-pc-blue-screen-crashing-crowdstrike-falcon-update-fix-9463628/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Microsoft Windows systems down: What is the blue screen of death  why is it dreaded?,https://indianexpress.com/article/technology/tech-news-technology/microsoft-global-outage-blue-screen-of-death-9463558/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Microsoft outage: Hours after downtime  Microsoft 365 services ‘recovered’  claims tech giant,https://indianexpress.com/article/technology/tech-news-technology/microsoft-365-users-unable-to-access-various-microsoft-365-apps-and-services-9462989/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Google teases Pixel 9 Pro Fold and Pixel 9 Pro  set to arrive in India in August,https://indianexpress.com/article/technology/mobile-tabs/google-pixel-9-pro-fold-pro-design-camera-island-9462807/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Bumble expands reporting feature to cover AI-generated  fake profiles,https://indianexpress.com/article/technology/tech-news-technology/bumble-users-can-report-fake-ai-profiles-9462784/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
Amazon Prime Day 2024 Live Updates: Best deals on smartphones  laptops  tablets and more,https://indianexpress.com/article/technology/tech-news-technology/amazon-prime-day-2024-live-updates-best-deals-on-smartphones-gadgets-tvs-and-more-9461453/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
How does Apple ‘sherlock’ apps and who are its victims this year?,https://indianexpress.com/article/technology/tech-news-technology/apple-sherlocking-apps-figures-explained-9461910/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
The woman who sold the world’s most expensive dinosaur,https://indianexpress.com/article/technology/science/the-woman-who-sold-the-worlds-most-expensive-dinosaur-9462761/ , https://indianexpress.com/wp-content/themes/indianexpress/images/default-ie.jpg
